RAdeg,DEJ2000,Plx,Vmag,Scat,SpType,HIP,ASCC,RV,e_RV,q_RV,o_RV
170.09997,-01.79702,   10.33,  8.271, 0.013,F5          ,  55379, 1229235,   10.40,   0.30, ,   2
170.24609,+04.88058,   11.06,  7.157, 0.007,F2          ,  55423, 1137219,    9.10,  12.30, ,   2
170.36234,+06.63496,   23.11,  6.701, 0.008,F8          ,  55455, 1041728,  -14.10,   0.30, ,   2
170.37941,-12.69871,   14.60,  7.858, 0.009,F7V         ,  55464, 1391305,   15.60,   0.30, ,   2
170.39132,+04.20832,    9.91,  8.074, 0.012,F5          ,  55467, 1137233,    6.40,   0.60, ,   2
170.68529,-19.86744,    8.26,  8.130, 0.014,F5V         ,  55553, 1476979,   -8.80,   0.50, ,   3
170.76101,+04.13807,    8.20,  8.062, 0.007,F5          ,  55574, 1137280,   28.00,   0.40, ,   2
170.77185,-16.60484,    3.71,  8.075, 0.009,F5        g ,  55577, 1476986,    8.00,   3.70, ,   2
170.84197,-18.77990,   22.84,  5.072, 0.004,F3 IV       ,  55598, 1477000,   13.81,   0.82, ,  12
170.96478,-21.26393,    7.23,  8.067, 0.013,F6        d ,  55636, 1574423,   16.09,   3.75, ,   2
170.98070,+10.52970,   40.87,  3.970, 0.006,F2IV        ,  55642,  952105,  -11.50,   7.59, ,   7
170.98105,+10.52947,   41.25,  6.616,      ,F2IV        ,  55642,  952106,  -11.50,   7.59, ,   7
170.99312,+26.61507,        , 12.343,      ,F2          ,       ,  683426, -127.00,       , ,
171.06552,+13.90198,   15.08,  8.360, 0.008,F7 d        ,  55661,  952111,   25.00,   1.30, ,   5
171.06569,+13.90219,   15.08,  8.580, 0.150,F7 d        ,  55661,  952112,   25.00,   1.30, ,   5
171.09086,-05.90975,   21.20,  6.950, 0.008,F5          ,  55666, 1308963,  -29.30,   0.20, ,   2
171.11060,+15.88404,   12.36,  7.566, 0.010,F8          ,  55674,  865567,  -17.10,   0.30, ,   2
171.31916,+29.75874,    9.56,  7.713, 0.009,F6 V        ,  55741,  683448,  -18.74,   2.72, ,   8
171.35492,+07.95311,   16.24,  7.558, 0.008,F5          ,  55751, 1041849,   -8.00,   5.00, ,   3
171.40191,+16.45655,   20.97,  5.575, 0.004,F2        d ,  55765,  865594,   18.76,   1.60, ,   2
171.42463,-27.54878,    7.50,  7.949, 0.010,F0 IV       ,  55774, 1669987,    8.60,       ,C,   4
171.71694,-09.94074,   11.46,  8.261, 0.010,F5          ,  55857, 1309049,  -11.40,   0.40, ,   2
171.78990,-12.35681,   15.04,  5.923, 0.007,F4        d ,  55874, 1391482,    4.98,   1.40, ,   6
171.81943,-08.86896,    4.26,  8.442, 0.024,F0          ,  55890, 1309066,   -1.00,   2.60, ,   1
171.92718,+29.82383,    6.39,  9.174, 0.018,F2 V        ,  55927,  683498,   34.00,       ,D,   2
172.10458,+02.78314,   19.15,  7.240, 0.008,F8          ,  55982, 1137443,    9.80,   2.80, ,   3
172.31032,-04.45144,   16.99,  7.431, 0.010,F8          ,  56049, 1229478,    6.50,   0.20, ,   3
172.41666,+07.59943,   12.56,  6.729, 0.008,F5          ,  56079, 1041970,    1.21,   2.64, ,   2
172.43897,-25.00197,    6.16,  7.196, 0.009,F8V         ,  56085, 1670190,  -11.00,   0.90, ,   2
172.46704,+24.94735,    9.91,  7.872, 0.008,F5          ,  56091,  777188,   24.70,   0.50, ,   2
172.60223,+29.88432,    2.29,  8.908, 0.157,F8 V        ,       ,  683563,  -35.00,       ,C,   3
172.66146,-13.05014,   15.31,  7.048, 0.008,F2V         ,  56154, 1391613,   -1.80,   1.00, ,   3
172.71249,-06.71901,   10.54,  7.640, 0.014,F3        d ,  56166, 1309161,    5.27,   1.27, ,   4
172.73489,-20.19996,   14.81,  7.853, 0.009,F5IV:       ,  56179, 1574766,  -15.80,   0.60, ,   2
172.89001,+29.00342,    2.55,  9.259, 0.017,F2 III      ,  56223,  683586,    3.00,       ,C,   5
172.94844,-20.77657,   25.19,  6.235, 0.006,F7 V        ,  56245, 1574803,   11.50,   0.55, ,   3
173.06689,-29.26364,   37.25,  5.723, 0.035,F7        d ,  56280, 1670306,    7.73,   1.26, ,
173.06841,-29.26137,   37.84,  5.620, 0.007,F6        d ,  56280, 1670309,    4.00,   3.70, ,   2
173.07737,-00.41434,   16.76,  8.079, 0.010,F8          ,  56282, 1229564,    6.70,   4.30, ,   3
173.09838,+12.20445,   10.26,  8.403, 0.018,F5          ,  56294,  952339,    0.80,   0.40, ,  14
173.10654,+29.04558,   13.16,  7.805, 0.013,F5 V        ,  56296,  683601,   14.42,   1.74, ,   3
173.16605,-28.60789,   16.10,  8.764, 0.146,F0          ,       , 1670325,   -8.30,   0.80, ,   4
173.20782,+18.00232,   21.20,  7.258, 0.006,F7V         ,  56321,  865775,   21.90,   0.50, ,   1
173.21478,-12.03477,    3.98,  8.628, 0.020,F2 V        ,  56327, 1391693,  132.00,       ,C,   6
173.31171,-16.28027,    8.25,  6.046, 0.004,F8/G0Ib/II  ,  56364, 1477425,   -7.48,   1.36, ,   5
173.44202,+29.62557,    2.65,  9.948, 0.026,F2 V        ,  56401,  683616,    0.00,       ,D,   6
173.44253,+29.62519,    2.81, 13.347,      ,F2 V        ,  56401,  683617,    0.00,       ,D,   6
173.47712,-00.03328,    1.06, 11.238, 0.428,F1          ,  56409, 1229613,  180.00,       , ,
173.55986,-12.86372,   10.55,  8.312, 0.014,F5        d ,  56436, 1391746,    0.38,   2.62, ,   4
173.59190,+03.06041,   37.53,  5.756, 0.004,F5        d ,  56445, 1137638,    4.58,   2.63, ,   2
173.62682,+27.76807,    5.62,  9.142, 0.016,F2 V        ,  56453,  683629,    9.00,       ,E,   2
173.63130,-28.28810,    8.81,  7.681, 0.009,F2V         ,  56454, 1670395,  -11.80,   0.60, ,   3
173.70162,+29.56220,  -15.00, 10.194, 0.372,F8 V        ,       ,  683632,   -8.00,       ,D,   4
173.88711,-12.41086,   15.15,  7.147, 0.009,F5          ,  56536, 1391792,   -5.30,   0.30, ,   2
173.91232,+29.93366,   -9.80,  9.604, 0.275,F2 V        ,       ,  683657,    2.00,       ,D,   8
174.01369,+27.90258,    5.23,  8.244, 0.014,F8 V        ,  56584,  683669,  -26.00,       ,E,   2
174.16087,+12.17728,    9.98,  7.994, 0.012,F8          ,  56624,  952463,   16.00,   2.70, ,   1
174.35972,+25.42022,    9.99,  8.171, 0.013,F8 V        ,  56690,  683709,    6.55,   6.35, ,   1
174.36252,-01.48483,    6.61,  8.093, 0.013,F5          ,  56691, 1229713,   -6.00,   3.00, ,   1
174.42675,+21.69174,    7.23,  8.925, 0.018,F2        s ,  56717,  777359,   -5.69,   1.79, ,   3
174.49701,-01.59975,   25.40,  7.605, 0.012,F9V         ,  56738, 1229729,    3.80,   0.10, ,  30
174.65252,+29.75645,    2.60,  8.670, 0.017,F5 III      ,  56794,  683735,   -6.10,       ,B,  18
174.66649,-13.20225,   36.96,  5.483, 0.004,F5        d ,  56802, 1391892,  -26.47,   1.26, ,   3
174.69139,-15.06992,   13.09,  8.049, 0.013,F7V         ,  56811, 1477647,   15.60,   0.20, ,   3
174.79286,+17.83829,    5.68,  8.010, 0.014,F5          ,  56840,  865940,  -11.80,   1.10, ,   2
174.89692,+19.00014,    7.84,  8.461, 0.160,F0III-IV    ,  56872,  865949,   -5.00,   0.30, ,   1
174.95542,+28.17805,    2.14,  9.101, 0.026,F5 V        ,  56895,  683768,  -13.00,       ,C,   5
175.06744,+25.78486,   12.07,  8.130, 0.017,F5          ,  56928,  683780,   -7.90,   0.30, ,   2
175.12190,+05.13994,    6.75,  7.503, 0.009,F5          ,  56951, 1042279,    1.60,   2.90, ,   2
175.32800,-01.77805,    9.12,  8.403, 0.014,F5          ,  57011, 1229832,   -0.90,   0.30, ,   2
