RAdeg,DEJ2000,Plx,Vmag,Scat,SpType,HIP,ASCC,RV,e_RV,q_RV,o_RV
175.34424,-26.66728,   19.72,  7.523, 0.009,F5/F6V      ,  57017, 1670699,  -35.38,   0.72, ,   2
175.36609,+00.95047,   10.92,  9.358, 0.014,F5          ,  57022, 1137840,    2.30,   0.90, ,   1
175.40923,+04.59055,   12.31,  8.006, 0.010,F0          ,  57034, 1137846,   -3.30,   2.00, ,   1
175.46630,+25.92660,    5.07,  8.390, 0.016,F8        d ,  57061,  683811,  -28.83,   2.63, ,   2
175.51088,-17.01662,   15.84,  7.607, 0.008,F5V         ,  57078, 1477764,   10.70,   0.70, ,   2
175.51648,+12.28522,   20.36,  7.075, 0.006,F6V         ,  57080,  952620,  -51.10,   0.30, ,   2
175.52188,+22.21119,   16.60,  6.640, 0.007,F2          ,  57082,  777467,  -23.00,   3.70, ,  12
175.60656,+02.36219,   12.92,  6.944, 0.008,F5          ,  57107, 1137874,   14.88,   2.63, ,   2
175.71220,+21.08048,    1.97,  8.913, 0.016,F5          ,  57134,  777482,  -11.60,   0.20, ,   4
175.71224,+21.08031,    2.70,  8.422,      ,F5          ,  57134,  777483,  -11.60,   0.20, ,   4
175.84526,+28.05516,    6.32,  7.691, 0.008,F3II        ,  57160,  683845,  -13.20,   2.80, ,  23
175.89866,-18.09734,    3.52,  8.573, 0.017,F3V         ,  57185, 1477842,   -5.70,   1.00, ,   2
175.94631,-21.03833,   11.53,  7.308, 0.008,F2V         ,  57199, 1575354,   20.00,   0.50, ,   2
176.01715,-04.80717,    8.30,  7.527, 0.008,F4        d ,  57232, 1229899,   11.86,   2.66, ,   2
176.15017,+25.53669,    6.19, 10.356, 0.026,F6          ,  57265,  683871,  198.06,   1.22, ,   5
176.20958,+28.42899,        , 11.342,      ,F0          ,       ,  683878,   -2.30,   1.00, ,   3
176.21011,+28.42706,   86.19, 11.301, 0.791,F0          ,       ,  683879,   -8.20,   1.50, ,   3
176.24318,+27.40747,   13.18,  8.274, 0.012,F5          ,  57300,  683882,   -8.43,   1.72, ,   2
176.36709,-21.47391,   11.70,  7.807, 0.012,F7        s ,  57345, 1575425,   13.07,   2.63, ,   2
176.58801,-05.34891,    5.31,  8.523, 0.014,F0          ,  57422, 1309612,  -10.00,   0.90, ,   6
176.61421,-24.97617,   18.61,  7.674, 0.008,F7V         ,  57433, 1575468,   52.20,   0.20, ,   4
176.67683,-19.46975,   18.45,  8.147, 0.014,F8V         ,  57460, 1477955,   -7.60,   0.20, ,   5
176.70433,-21.47493,   11.81,  8.152, 0.014,F8V         ,  57468, 1575481,    8.10,   0.40, ,   2
176.75398,+23.72045,   25.69,  6.953, 0.014,F7V         ,  57488,  777591,    4.13,   1.10, ,   1
176.83039,-29.49243,    9.06,  8.026, 0.012,F6V         ,  57514, 1670936,    5.50,   2.70, ,   3
176.86033,+13.38629,    5.51,  9.055, 0.014,F2          ,  57527,  952763,   -3.20,   3.20, ,   1
176.86832,+20.03369,   11.53,  7.392, 0.007,F5Iab:      ,  57529,  777606,   -7.20,   1.60, ,   2
176.86855,+20.03354,   11.53,  7.487, 0.068,F 5 I       ,  57529,  777607,   -7.30,   1.60, ,   1
177.09813,-10.31284,   23.37,  6.238, 0.007,F7 V        ,  57587, 1392208,   14.43,   0.36, ,   5
177.10436,+25.77773,    4.19, 11.140, 0.030,F5          ,  57590,  683948,    0.80,   2.70, ,   3
177.10551,+28.41705,   11.61,  7.224, 0.010,F2          ,  57591,  683949,   15.00,   2.20, ,  10
177.21389,+18.82310,   15.16,  7.992, 0.013,F8          ,  57617,  866211,  -43.50,   0.20, ,   3
177.25584,-00.31868,   28.97,  6.137, 0.008,F8          ,  57629, 1230055,    1.30,   2.62, ,  12
177.26965,-12.61504,    9.46,  8.451, 0.014,F2        s ,  57634, 1392242,   16.00,       ,D,   2
177.56605,-19.60512,    6.77,  8.141, 0.014,F3V         ,  57722, 1478094,   -0.60,   0.80, ,   4
177.57790,-07.37593,    9.88,  7.696, 0.009,F8          ,  57730, 1309730,   19.50,   4.00, ,   1
177.67203,+01.76538,   91.65,  3.590, 0.004,F8 V        ,  57757, 1138116,    4.11,   0.53, ,   5
177.68225,+28.09679,    7.94,  7.897, 0.009,F5          ,  57761,  683989,  -15.28,   1.69, ,   2
177.73704,+29.81307,    0.67, 10.142, 0.026,F1          ,  57784,  683994,   -6.80,   3.00, ,   4
177.83758,+25.33650,    5.81,  9.970, 0.021,F5          ,  57815,  684004,  -17.00,   4.70, ,   3
177.84183,-12.18792,   22.29,  6.343, 0.007,F1 III-IV   ,  57819, 1392319,    9.88,   0.76, ,   5
177.85355,+11.80515,   18.68,  7.056, 0.008,F6V         ,  57821,  952884,   34.80,   0.50, ,   1
177.85894,-23.84665,   12.25,  7.958, 0.012,F3/F5V      ,  57822, 1575679,    7.80,   2.00, ,   4
178.00447,+27.55160,  -44.70, 10.735, 0.476,F4          ,       ,  684021,   -8.40,       , ,   1
178.03830,+29.77970,    8.30, 10.032, 0.363,F2          ,       ,  684024,  -21.00,   6.40, ,   2
178.12912,+20.40992,   11.28,  7.270, 0.008,F7V         ,  57898,  777731,   -6.77,   6.46, ,   3
178.18902,+28.40862,    5.90,  8.711, 0.119,F5          ,       ,  684041,    9.00,   3.90, ,   4
178.28465,+21.00954,    0.95, 10.141, 0.025,F8          ,  57951,  777750,  -15.00,   1.20, ,   3
178.31436,+27.30761,    5.39,  9.650, 0.019,F5          ,  57958,  684052,  -11.40,   2.00, ,   4
178.33178,+20.31974,  -63.09,  9.993, 0.402,F5          ,       ,  777759,  -16.00,   3.80, ,   3
178.40555,-02.00992,    3.15,  9.604, 0.019,F0          ,  57983, 1230214,    0.20,   1.50, ,   2
178.46439,+14.02965,    9.69,  7.720, 0.010,F0        d ,  58006,  952942,    6.40,       ,B,   3
178.50884,+27.96350,   -9.39,  8.960, 0.115,F5          ,       ,  684072,  -19.50,   1.90, ,   4
178.53221,+18.16961,   11.48,  7.825, 0.009,F8          ,  58034,  866353,  -37.00,   0.20, ,   3
178.59488,+10.04907,    7.74,  7.949, 0.009,F5          ,  58049,  952957,   65.70,   1.00, ,   1
178.63959,+14.15143,    9.68,  7.818, 0.010,F5          ,  58069,  952965,  -11.00,   2.10, ,   2
178.70100,-23.55017,    5.98,  8.036, 0.010,F3/F5V      ,  58089, 1575842,   -6.00,   1.00, ,   3
178.75313,-00.55614,    6.38,  8.344, 0.014,F2        g ,  58105, 1230267,   -0.69,   9.49, ,   3
178.88305,+27.51284,  -23.20, 10.775, 0.804,F5          ,       ,  684111,   -5.80,   2.90, ,   3
178.94985,+22.68376,   21.10,  9.654, 0.314,F5          ,       ,  777824,   -8.00,   4.10, ,   5
179.00375,+21.98191,    9.57,  8.018, 0.046,F7        s ,  58187,  777831,   14.72,   2.62, ,   4
179.00448,+25.48955,   13.57,  8.639, 0.012,F6 V        ,  58189,  684129,  -27.00,   6.00, ,   6
179.00523,-01.44213,    8.40,  8.535, 0.014,F6        d ,  58191, 1230293,    1.80,       ,B,   3
179.08636,+26.67960,   18.30,  6.791, 0.009,F2          ,  58213,  684142,    6.09,   1.40, ,  13
179.15072,-21.41926,    7.53, 10.057, 0.023,F5/F6V      ,  58229, 1575929,  168.00,       , ,   1
179.18967,-10.72449,   16.58,  7.409, 0.008,F2          ,  58248, 1392502,    9.20,   0.30, ,   2
179.20297,+24.71424,    7.50,  9.903, 0.300,F5          ,       ,  777856,  -15.00,   3.90, ,   3
179.22926,+24.20265,    3.17, 10.339, 0.026,F5          ,  58262,  777858,    1.90,   3.30, ,   3
179.23193,-12.10786,   18.85,  7.126, 0.007,F5          ,  58263, 1392507,   -3.40,   0.30, ,   2
179.25161,-04.78279,   20.33,  6.724, 0.008,F5          ,  58268, 1230334,   14.70,   0.50, ,   3
179.30866,+25.82161,    3.79,  9.896, 0.308,F6          ,       ,  684161,   -2.70,   2.60, ,   3
179.32265,+24.59244,    0.00,  9.601, 0.272,F6          ,       ,  777866,  -22.00,  14.50, ,   2
179.32698,-22.53804,   13.49,  8.202, 0.012,F6V         ,  58298, 1575958,   -3.55,   0.74, ,   3
179.37897,-27.05579,   18.21,  7.004, 0.008,F3V         ,  58317, 1671355,  -11.20,   0.50, ,   2
179.39583,+28.55515,    4.42,  8.018, 0.010,F2          ,  58323,  684170,   -8.69,   1.10, ,   4
179.44253,-08.27509,   15.59,  7.996, 0.008,F8          ,  58333, 1309984,   30.50,   0.20, ,   4
179.51779,+25.13784,   12.14,  8.261, 0.010,F8          ,  58364,  684187,    7.00,   1.00, ,   2
179.54822,+26.91163,    8.10,  9.369, 0.296,F6          ,       ,  684191,  -17.50,   1.90, ,   4
179.62767,+27.25372,    1.10,  9.345, 0.244,F3          ,       ,  684204,   -4.80,   1.40, ,   4
179.85148,+19.55744,    3.00,  9.459, 0.018,F0          ,  58467,  866480,   -9.00,   4.00, ,   3
179.88568,+21.25386,    9.39, 10.389, 0.326,F5          ,       ,  777924,  -14.00,   5.10, ,   3
180.14708,+29.35916,        , 11.321,      ,F0          ,       ,  684259,  -30.00,   5.40, ,   4
180.21754,+25.38198,    4.34,  9.962, 0.029,F6          ,  58589,  684269,   -8.60,   2.20, ,   3
180.28878,+23.83474,  -12.39,  9.643, 0.273,F2          ,       ,  777961,    5.00,   5.80, ,   4
180.29206,+03.63237,   11.82,  7.782, 0.009,F5          ,  58610, 1138438,  -19.00,   0.40, ,   2
180.29741,+20.29887,    2.69,  9.626, 0.020,F6          ,  58612,  777964,   -4.90,   2.80, ,   4
180.34835,-21.53251,    9.10,  8.539, 0.018,F6        d ,  58629, 1576154,   61.00,       ,C,   3
180.36242,+19.18236,    4.28,  9.746, 0.019,F5          ,  58635,  866539,   10.00,   4.80, ,   2
180.43328,+29.54857,    5.52,  8.500, 0.014,F5V         ,  58658,  684291,  -11.50,       ,B,
180.43458,+22.09433,    6.38,  6.579, 0.007,F7        d ,  58661,  777978,   11.10,       ,B,  15
180.59407,+19.27388,    2.01,  9.073, 0.018,F2          ,  58701,  866556,  -17.80,   1.50, ,   3
180.62135,+21.74681,   11.78,  8.585, 0.014,F9          ,  58707,  778004,   -7.00,   5.50, ,   2
180.68828,-10.64927,    6.41,  8.510, 0.012,F2          ,  58726, 1392708,   -7.10,   0.50, ,   2
180.69449,+24.83615,   10.85,  8.042,      ,F8          ,  58731,  778014,  -21.30,   0.80, ,   2
180.69450,+24.83620,   11.68,  8.270, 0.014,F8          ,  58731,  778015,  -21.30,   0.80, ,   2
180.72246,+12.80743,    8.87,  7.463, 0.014,F0          ,  58743,  953201,   -7.80,   0.70, ,   1
180.74923,-10.75235,   17.34,  7.436, 0.008,F5          ,  58751, 1392713,  -12.70,   0.40, ,   2
180.86493,+24.65826,  -22.29, 10.729, 0.675,F3          ,       ,  778040,   -3.30,   1.20, ,   3
180.88246,-02.44694,    3.64,  8.063, 0.008,F0          ,  58791, 1230541,   -0.50,   1.70, ,   4
180.88255,-02.44658,    2.83,  8.455,      ,F0          ,  58791, 1230542,   -0.50,   1.70, ,   4
180.93554,+05.55795,   15.18,  6.394, 0.008,F3        d ,  58809, 1042959,   10.55,   2.80, ,   3
181.00940,+24.93885,   11.94,  8.271, 0.013,F8 V        ,  58833,  778054,    0.73,   4.44, ,   1
181.02128,+28.06061,    8.52,  8.580, 0.013,F3          ,  58838,  684356,  -14.20,   3.10, ,   5
181.05024,+24.11946,    5.65,  8.565, 0.013,F5          ,  58850,  778063,   -2.00,   4.50, ,   6
181.06814,+21.45859,    9.09,  7.441, 0.118,F0 IV-V     ,  58858,  778066,    8.20,       ,B,   6
181.06907,+21.45916,    9.09,  6.078, 0.007,F0 IV-V     ,  58858,  778067,    6.20,       ,B,   6
181.26956,+09.23963,    5.69,  8.142, 0.114,F2          ,       , 1043001,    4.80,   0.30, ,   2
181.35433,-26.59482,    3.44, 10.190, 0.041,F8 VI       ,  58962, 1671723,  121.60,   2.62, ,   4
181.35493,+17.28944,    9.91,  7.627, 0.008,F5          ,  58963,  866640,   18.90,   1.20, ,  12
181.36415,+10.96065,   14.10,  7.900, 0.008,F2          ,  58968,  953255,  -15.00,   1.60, ,   2
181.42182,+21.54691,    7.60,  9.136, 0.021,F5          ,  58990,  778112,  -14.00,   1.80, ,  10
181.50346,+23.20465,   11.15,  7.471, 0.032,F5          ,  59015,  778125,   -0.90,   2.89, ,   5
181.53297,+27.54871,   18.00,  9.635, 0.263,F9        d ,       ,  684402,   -2.80,       ,B,   3
181.55063,+27.49968,   13.30,  9.927, 0.026,F6          ,  59033,  684406,  -44.70,   0.70, ,   7
181.68123,-09.41003,    7.49,  8.639, 0.014,F7        d ,  59060, 1310261,   -4.81,   2.62, ,   2
181.69369,+25.93085,    7.39, 10.073, 0.021,F8 V        ,  59066,  684419,   -8.30,   1.80, ,   8
181.75587,-23.76635,   12.74,  6.932, 0.008,F7V         ,  59087, 1576427,    9.60,   0.40, ,   2
181.86732,+23.04230,    7.38,  7.627, 0.008,F0 V        ,  59125,  778176,    5.70,   1.70, ,   7
181.87878,+28.66780,    3.52, 10.139, 0.019,F6          ,  59129,  684434,   -4.00,   4.30, ,   3
181.94664,-08.48599,   10.07,  7.563, 0.009,F5          ,  59149, 1310308,  -46.10,  21.20, ,   2
182.00247,+00.62136,   15.21,  6.983, 0.008,F2          ,  59164, 1138674,  -12.40,   2.50, ,   1
182.00267,+25.37716,   10.56,  8.496, 0.017,F6 V        ,  59165,  684450,   -1.80,   1.40, ,   4
182.03246,-00.39821,    1.00,  9.222, 0.259,F4        d ,       , 1230682,  -19.40,       ,B,   4
182.10314,-24.72878,   67.04,  4.029, 0.004,F2        d ,  59199, 1576483,    3.32,   0.59, ,  20
182.14624,-00.45675,   -0.24, 10.535, 0.462,F2          ,  59208, 1230700,   -7.10,       , ,
182.17892,-18.43540,    8.66,  7.131, 0.009,F5IV/V      ,  59217, 1478875,  -12.10,   0.60, ,   2
182.23157,+18.30404,    2.93, 10.469, 0.028,F5          ,  59234,  866726,   17.00,   4.00, ,   2
182.30900,+14.82994,   14.33,  7.771, 0.010,F8          ,  59250,  953374,    7.00,   0.30, ,   2
182.36523,+28.20506,    2.43,  9.465, 0.018,F5          ,  59270,  684483,   -9.80,   1.00, ,   4
182.50576,+27.04701,    0.80,  9.506, 0.275,F8 V        ,       ,  684491,    3.70,   1.60, ,   4
182.52434,-17.53728,   13.43,  6.625, 0.006,F6V         ,  59313, 1478936,    6.90,   0.30, ,   3
182.52640,+24.26110,   11.67,  8.737, 0.014,F9 V        ,  59314,  778239,  -22.40,   2.10, ,  10
182.56973,+20.14752,    5.80,  9.663, 0.018,F5          ,  59333,  778241,   -3.00,   3.50, ,   4
182.73252,+00.39948,    4.68, 11.076, 0.041,F2          ,  59376, 1138772,   97.30,   3.30, ,   8
182.82827,+17.97912,    6.71, 10.675, 0.028,F5          ,  59418,  866797,  -15.30,   1.00, ,   2
182.84107,-03.77872,   19.96,  6.941, 0.008,F5          ,  59422, 1230779,   -5.00,   1.40, ,   2
182.95556,-19.92928,    9.63,  7.421, 0.010,F5V         ,  59465, 1479014,   -5.10,   0.70, ,   2
182.96860,+20.39676,  -48.59, 10.187, 0.437,F3 V:       ,       ,  778291,   -9.50,   1.30, ,   4
183.00405,+28.53646,   12.37,  6.456, 0.007,F5 V        ,  59489,  684532,  -13.39,   2.80, ,  19
183.00625,+13.26235,    9.08, 10.144, 0.025,F6 V-VI     ,  59490,  953475,   99.70,   2.76, ,   5
183.10376,+27.38012,   11.07,  8.071, 0.010,F5V         ,  59527,  684538,    0.66,   1.30, ,   1
183.12484,+03.40405,   15.59,  7.615, 0.010,F5          ,  59536, 1138817,    8.90,   0.30, ,   2
183.12579,+25.27550,  -27.60, 10.022, 0.354,F0          ,       ,  684542,  -36.00,   7.30, ,   3
183.20860,+17.35519,    0.75,  9.786, 0.025,F2          ,  59554,  866842,  -24.00,   4.20, ,   2
183.23667,-12.79050,    6.10,  8.293, 0.013,F0V         ,  59569, 1393036,   14.10,   0.90, ,   4
183.23880,+18.97463,    5.83,  9.587, 0.019,F3          ,  59571,  866847,  -21.30,   3.50, ,   3
183.43294,+22.88802,    4.69,  8.076, 0.094,F5 V        ,       ,  778347,    4.79,   3.26, ,   3
183.49676,+29.56100,        , 11.489,      ,F2          ,       ,  684571,    4.50,   1.10, ,   2
183.56461,-05.71688,   11.83,  6.554, 0.023,F3        d ,  59676, 1310521,    9.10,       ,B,   3
183.58507,+27.81869,    7.80, 10.038, 0.286,F8 V        ,       ,  684582,  -12.00,   5.30, ,   5
183.61204,+16.84178,   23.29,  9.475, 0.203,F5          ,       ,  866882,    2.00,   5.30, ,   4
183.72567,+19.79085,    5.80,  9.355, 0.224,F7          ,       ,  866891,  -11.00,   5.90, ,   4
183.78212,+27.44209,    2.20, 10.272, 0.026,F4          ,  59745,  684597,   -9.70,   1.80, ,   3
183.79391,-10.30994,   44.34,  6.106, 0.007,F5 V        ,  59750, 1393114,    7.07,   3.61, ,  56
183.80917,+22.24540,    2.89,  9.353, 0.017,F0          ,  59756,  778391,    8.00,   3.80, ,   5
183.94460,-23.35380,   14.99,  6.666, 0.006,F5-F6 V     ,  59801, 1576784,   19.88,   3.02, ,   2
183.97042,+27.54107,        , 11.356,      ,F5          ,       ,  684614,    0.00,   3.60, ,   4
184.01049,+28.04869,    4.74,  8.255, 0.014,F6 V        ,  59824,  684615,   -4.00,   3.80, ,   8
184.03491,+25.76040,   11.61,  8.079, 0.014,F5IV        ,  59833,  684616,    1.92,   1.81, ,   1
184.09532,+17.14544,    7.00, 10.108, 0.449,F6          ,       ,  866934,  -13.20,   1.00, ,   3
184.11812,+16.02853,    5.84,  9.785, 0.017,F4          ,  59855,  866937,   11.50,   1.00, ,   3
184.19316,+29.58666,    4.83, 10.095, 0.023,F2          ,  59877,  684635,  -17.00,   5.20, ,   4
184.32970,+28.72636,    7.81,  8.931, 0.013,F5 V        ,  59910,  684652,   -9.10,   2.10, ,   4
184.40103,+14.44292,   17.12,  8.159, 0.012,F8        d ,  59933,  953646,   -3.34,   2.64, ,   4
184.44861,+25.05441,    5.15,  8.684, 0.014,F7V         ,  59952,  684664,    3.58,   2.24, ,   3
184.46209,+15.01921,    9.95,  8.347, 0.012,F6        d ,  59958,  866988,    7.80,       ,B,   3
184.46214,+25.57137,   11.36,  7.846, 0.014,F2 V        ,  59957,  684665,    4.19,   1.80, ,  12
184.47269,-06.43099,   11.35,  7.805, 0.013,F8          ,  59961, 1310639,   26.30,   0.50, ,   2
184.50851,+28.65228,   10.30, 10.035, 0.402,F4          ,       ,  684669,    6.70,   1.90, ,   2
184.51730,+18.43506,    6.80,  7.593, 0.010,F6III       ,  59980,  866995,  -24.26,   1.40, ,   2
184.53841,-03.95419,   13.29,  6.890, 0.070,F5        d ,  59983, 1230975,   -1.34,   1.27, ,
184.53991,-03.94883,   16.20,  6.526, 0.075,F4        d ,  59984, 1230978,   -1.00,   3.70, ,   2
184.54607,+22.71504,    7.47,  8.694, 0.013,F8 V        ,  59986,  778453,   -7.20,   2.20, ,   4
184.64766,-14.40718,    8.20,  7.566, 0.010,F2/F3III/IV ,  60022, 1393229,   -5.80,   1.00, ,   4
184.65079,+23.12010,   14.60,  8.679, 0.017,F9        d ,  60025,  778470,   -1.10,   1.79, ,   3
184.67058,+26.19023,   16.16,  7.558, 0.008,F8 V        ,  60031,  684684,    1.39,   3.64, ,   1
184.67556,+21.51355,    6.42,  9.242, 0.017,F8 V        ,  60033,  778473,   33.00,   1.70, ,  18
184.70100,-29.96082,    7.76,  8.506, 0.014,F5V         ,  60043, 1672295,   40.20,   7.20, ,   2
184.74198,+15.12422,        , 12.805,      ,bhbf        ,       ,  867027,   18.00,       , ,   1
184.75617,+24.84619,   10.71,  8.795, 0.017,F7 V        ,  60063,  778485,    0.03,   1.73, ,   2
184.79855,+29.20034,    4.50, 10.114, 0.397,F6          ,       ,  684700,   10.00,  27.10, ,   3
