RAdeg,DEJ2000,Plx,Vmag,Scat,SpType,HIP,ASCC,RV,e_RV,q_RV,o_RV
088.21973,+34.44530,   14.03,  7.925, 0.014,F8          ,  27791,  568493,  -27.70,   1.10, ,   2
088.29347,+27.62427,   -2.09,  9.279,      ,F5          ,       ,  663457,   -2.00,  12.50, ,   4
088.31872,+32.17960,    4.69,  8.791, 0.218,F0          ,       ,  568532,   11.30,       , ,   1
088.33459,+30.44956,   24.89,  8.385, 0.109,F8          ,       ,  568538,  -78.98,   0.72, ,   3
088.36944,+37.33885,   15.00,  6.825, 0.008,F5          ,  27844,  476956,  -22.00,   0.20, ,   4
088.72342,+25.09590,  -39.50, 10.045, 0.442,F0          ,       ,  663611,   13.60,       , ,   1
088.76557,+27.34217,    8.24,  7.885, 0.008,F5V         ,  27982,  663630,  -33.65,   3.19, ,   2
088.84280,+29.96398,   20.39,  7.074, 0.061,F0          ,       ,  663657,   -5.07,   0.95, ,   3
088.86045,+28.31563,  104.69, 10.546, 0.646,F0          ,       ,  663665,   -2.40,       , ,   1
088.99829,+23.87541,   17.00,  9.346, 0.254,F5          ,       ,  755466,    7.50,       , ,   1
089.05482,+24.47827,   19.89, 10.106, 0.388,F8          ,       ,  755507,   -7.00,   5.60, ,   2
089.09889,+33.21907,   10.66,  8.137, 0.014,F8          ,  28102,  568773,  -19.65,   0.74, ,   3
089.32699,+27.37014,    0.30,  9.695, 0.312,F5          ,       ,  663899,   24.50,       , ,   1
089.41560,+33.26037,   14.72,  7.456, 0.008,F8          ,  28212,  568909,  -13.02,   0.74, ,   2
089.65882,+25.39351,   40.20, 10.364, 0.617,F2          ,       ,  664098,  -23.60,       , ,   1
089.79888,+25.06268,  -17.79,  9.369, 0.196,F5          ,       ,  664173,   13.50,       , ,   1
089.84330,+25.48612,        , 12.055,      ,F9 IV       ,       ,  664195,   -8.00,       , ,   1
089.84574,+31.07032,   11.00,  8.192, 0.112,F5          ,       ,  569090,  -11.92,   0.72, ,   4
090.01020,+28.74702,    7.90,  8.826, 0.013,F5          ,  28411,  664263,  -58.50,   3.10, ,   8
090.09354,+25.92228,   28.89,  8.486, 0.151,F0II        ,       ,  664312,  -13.00,  16.90, ,   7
090.11878,+35.31219,   -3.50,  7.718, 0.208,F5 Ib       ,       ,  477566,   13.60,   1.90, ,  20
090.15406,+29.00525,   10.31,  7.491, 0.009,F2II        ,  28469,  664339,   53.67,   2.50, ,   2
090.19844,+22.31587,    4.69,  9.881, 0.372,F0 IV-V     ,       ,  756161,   33.20,       , ,   1
090.32564,+24.41239,   -4.09,  9.626, 0.370,F5          ,       ,  756241,   36.70,       , ,   1
090.36691,+23.14098,   10.42,  9.794, 0.277,B6V+F0IV    ,  28537,  756258,    0.30,       ,D,
090.42929,+26.18631,        , 11.625,      ,F0 Iab      ,       ,  664514,   17.00,   4.50, ,   2
090.43963,+25.60211,  -33.00,  9.929, 0.455,F8          ,       ,  664521,  -17.40,       , ,   1
090.52999,+24.55423,  -70.40, 10.036, 0.212,F0          ,       ,  756336,  -10.20,       , ,   1
090.56819,+22.16808,  -22.50,  9.360, 0.261,F8          ,       ,  756359,   15.70,       , ,   1
090.61438,+26.43136,    1.97,  8.745, 0.016,F2V         ,  28617,  664641,  -12.00,   6.20, ,   5
090.65245,+22.23415,    1.99,  9.922, 0.412,F5          ,  28625,  756390,   13.90,       , ,
090.65673,+32.59139,   15.46,  6.791, 0.008,F5          ,  28626,  569460,  -17.70,   0.86, ,   1
090.71909,+25.88448,    8.30,  7.914, 0.010,F6V         ,  28640,  664705,  -21.77,   5.94, ,   2
090.72965,+32.63621,   20.05,  6.221, 0.006,F5        d ,  28644,  569488,   32.13,   1.32, ,   1
090.77342,+22.36514,   32.90,  8.178, 0.143,F9 V+       ,       ,  756446,   35.30,       , ,   1
090.80925,+24.21740,   14.19,  9.191, 0.229,F8          ,       ,  756467,  -22.80,       , ,   1
090.82361,+25.65757,   10.50,  9.483, 0.284,F5          ,       ,  664769,    3.30,       , ,   1
090.84059,+31.39015,   14.33,  7.070, 0.009,F8          ,  28683,  569544,    7.52,   0.74, ,   3
090.85724,+27.64284,        , 10.002,      ,F2          ,       ,  664788,   23.00,   6.20, ,   6
090.85761,+26.12635,  -23.00,  9.110, 0.181,F8          ,       ,  664789,  -13.20,       , ,   1
090.86070,+27.64251,        ,  8.814, 0.179,F2          ,       ,  664793,   -6.50,   2.80, ,   5
090.94111,+26.90525,  -29.50,  9.855, 0.358,F0          ,       ,  664859,   15.40,       , ,   1
